Country/Region,Argentina,Australia,Austria,Bahamas,Bangladesh,Barbados,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Fiji,Finland,France,Georgia,Germany,Greece,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,"Korea, South",Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Morocco,Namibia,Nepal,Netherlands,New Zealand,North Macedonia,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Suriname,Sweden,Switzerland,Taiwan*,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,US,Venezuela,Vietnam,Zambia,Zimbabwe
08/01/2020, <1, <1,0,0,0,0,0,0,0,0, <1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, <1,0, <1,0,0, <1,0,0,0,0,0,0, <1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, <1,0, <1,0,0,0,0,0,0, <1,0,0,0,0,0,0,0, <1,0,0,0, <1,0, <1,0,0,0,0
09/01/2020,<1,<1,<1,0,0,0,<1,0,<1,0,<1,0,2,0,<1,0,0,<1,0,0,0,0,0,0,<1,0,<1,<1,0,<1,0,0,0,0,0,0,0,0,0,1,0,0,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,<1,0,0,<1,0,0,0,0,0,<1,<1,<1,<1,0,<1,<1,0,0,<1,0,0,<1,<1,0,<1,<1,1,0,<1,<1,0,0,0,<1,<1,0,<1,0,0,0,0
10/01/2020,0,<1,0,0,0,0,<1,0,0,0,<1,0,0,0,0,<1,0,0,0,0,0,0,0,0,<1,0,<1,0,0,0,0,0,0,0,0,0,0,<1,0,<1,0,0,<1,<1,0,0,0,0,0,<1,0,<1,0,0,0,<1,<1,0,<1,0,0,0,0,0,<1,<1,<1,<1,0,<1,<1,0,0,<1,0,0,0,0,0,0,<1,<1,0,0,0,0,0,0,<1,<1,0,<1,0,<1,0,0
11/01/2020,0,<1,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,<1,0,0,<1,0,0,<1,<1,0,<1,<1,0,0,0,<1,0,0,0,<1,0,<1,0,<1,1,0,<1,0,1,0,0,1,0,<1,0,<1,0,0,0,0,<1,0,<1,0,<1,0,0,0,<1,<1,0,0,0,<1,0,0,0,<1,0,<1,0,0,0,<1,<1,<1,0,0,0,0,0,<1,0,<1,0,<1,0,0,0,0
12/01/2020,<1,<1,<1,0,0,0,0,0,0,0,<1,<1,0,0,0,0,0,<1,0,0,0,0,2,0,<1,0,<1,<1,0,0,0,<1,0,0,0,0,0,<1,0,<1,1,0,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,<1,0,0,<1,0,0,0,0,0,<1,0,0,0,0,<1,0,0,0,<1,0,0,0,<1,0,<1,0,1,0,0,0,0,0,<1,0,<1,0,<1,0,0,0,0
13/01/2020,<1,<1,0,0,0,0,<1,0,<1,0,<1,0,1,0,0,0,0,0,0,<1,0,0,0,<1,<1,0,<1,<1,0,0,0,<1,0,0,0,0,0,<1,0,<1,0,0,<1,0,0,0,5,0,0,<1,0,<1,0,0,0,0,<1,0,<1,0,0,0,0,<1,<1,0,0,0,0,<1,<1,0,0,<1,0,0,<1,<1,0,<1,0,<1,0,1,0,0,0,0,0,<1,<1,<1,0,<1,0,0
14/01/2020,<1,<1,0,0,0,0,0,<1,<1,<1,<1,0,1,<1,0,0,0,0,0,0,0,0,0,<1,<1,0,<1,0,0,0,0,<1,<1,0,<1,0,0,<1,0,<1,0,0,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,<1,<1,0,0,0,0,0,0,0,<1,<1,<1,<1,0,<1,0,0,<1,<1,0,0,<1,<1,0,<1,<1,<1,0,1,0,<1,0,0,<1,<1,0,<1,0,<1,1,0
15/01/2020,<1,<1,0,0,0,0,0,0,<1,0,<1,<1,1,<1,0,0,0,0,0,0,<1,0,0,0,<1,0,<1,0,0,0,0,<1,<1,0,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,0,0,1,0,0,0,0,0,<1,<1,<1,<1,<1,<1,<1,<1,0,0,0,0,<1,<1,<1,0,<1,<1,<1,0,1,0,0,0,0,0,<1,0,<1,<1,<1,0,0
16/01/2020,<1,<1,0,0,0,0,<1,0,<1,0,<1,<1,1,0,0,0,0,<1,0,<1,<1,0,0,1,<1,0,<1,<1,0,0,0,<1,<1,<1,0,<1,<1,<1,0,3,0,0,<1,0,1,0,0,0,<1,1,0,<1,0,0,0,<1,<1,1,<1,<1,0,0,0,<1,1,<1,<1,<1,<1,<1,<1,0,0,1,0,0,<1,<1,0,<1,<1,1,0,1,0,<1,0,<1,0,<1,0,<1,0,<1,0,0
17/01/2020,<1,<1,<1,0,<1,0,0,0,<1,0,<1,<1,2,<1,0,0,0,<1,0,0,<1,0,0,<1,<1,0,<1,<1,0,0,0,<1,<1,0,0,0,0,<1,0,1,0,0,<1,0,0,0,0,0,0,<1,0,1,<1,0,1,<1,0,1,<1,<1,0,0,0,<1,<1,<1,<1,<1,<1,<1,0,0,0,<1,0,0,<1,<1,0,<1,<1,<1,0,<1,0,<1,0,<1,0,<1,0,<1,0,<1,0,0
