Country/Region,Argentina,Australia,Austria,Bahamas,Bangladesh,Barbados,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Fiji,Finland,France,Georgia,Germany,Greece,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,"Korea, South",Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Morocco,Namibia,Nepal,Netherlands,New Zealand,North Macedonia,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Suriname,Sweden,Switzerland,Taiwan*,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,US,Venezuela,Vietnam,Zambia,Zimbabwe
Lat,"−4,472916667",,"5,543055556","1,279861111","1,434027778","1,888194444","7,870138889","−2,681944444","−0,7465277778","6,846527778",,"−6,146527778",,"4,13125","5,575694444",45.1,"7,71875",,"5,859027778","−5,813888889",26.0,"6,550694444","−5,6625",64.0,"3,497222222","3,940277778",51.0,"2,140277778",15.2,"3,086805556","9,354861111",21.0,"−5,48125",32.0,33.0,"3,197222222",31.0,43.0,"1,511111111",36.0,"1,308333333","−0,1638888889",36.0,29.5,"8,441666667","7,310416667","1,968055556","3,468055556","7,703472222",2.5,"7,96875","5,364583333","6,789583333","−7,566666667","2,324305556","3,0875","−7,920833333","5,934722222","2,827777778","3,85625","0,7069444444","−0,46875","−4,03125","−0,3881944444",13.0,"8,509722222","4,402083333","3,505555556","8,425",60.0,24.0,"4,0375","1,947916667","2,009027778","2,464583333","2,966666667","−5,135416667",40.0,"6,509027778",63.0,"7,598611111",23.7,"−0,50625",15.0,34.0,"8,275694444",1.0,"4,634722222",24.0,"4,917361111","−4,963888889","2,168055556","3,193055556",16.0,"−3,51875",-20.0
Long,"−6,907638889",,"4,403472222","−5,960416667","6,224305556","−6,230555556",4.0,"−6,713194444","−8,550694444","4,415277778",,"−3,335416667",,"−5,147916667","−8,690277778",15.2,15.472999999999999,,"−4,046527778","−4,523611111",30.0,"1,136111111","7,461805556",26.0,"1,567361111","4,270138889",9.0,"6,599305556","−5,263194444","4,286805556","−0,9361111111",78.0,"11,10625",53.0,44.0,"−5,097916667",35.0,12.0,"−5,274305556",138.0,"1,535416667","7,834722222",128.0,"2,010416667","5,188888889","7,446527778","0,4131944444","7,078472222","1,15",112.5,"3,190277778","−8,088888889","−0,9347222222","4,155555556","3,517361111","2,23125","7,865277778","6,050694444","3,589583333","5,271527778","−8,764583333","12,59375","−5,498611111","−3,230555556",122.0,"1,799305556","−1,892361111","3,402083333","7,713888889",90.0,45.0,"−3,725","0,9159722222","10,07847222","1,277083333","7,496527778","7,427083333",-4.0,"−2,526388889",16.0,"1,913194444",121.0,"7,588888889",101.0,9.0,"3,147916667",32.0,"2,441666667",54.0,-3.4360000000000004,"−7,609722222","−8,909027778","−6,845138889",108.0,"3,134027778",30.0
22/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0
23/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0
24/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,2,0,2,0,0
25/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,2,0,2,0,0
26/01/2020,0,4,0,0,0,0,0,0,0,0,1,0,2075,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,5,0,2,0,0
27/01/2020,0,5,0,0,0,0,0,0,0,0,1,0,2877,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,5,0,2,0,0
28/01/2020,0,5,0,0,0,0,0,0,0,0,2,0,5509,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,5,0,2,0,0
29/01/2020,0,6,0,0,0,0,0,0,0,0,2,0,6087,0,0,0,0,0,0,0,0,0,0,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,14,0,0,0,0,4,0,0,5,0,2,0,0
